Epoch: [4][260/360]	 lr:0.01000	Time 0.090 (0.104)	Loss 0.0008 (0.0028)	Prec@1 100.000 (99.389)	
Epoch: [4][270/360]	 lr:0.01000	Time 0.080 (0.104)	Loss 0.0007 (0.0028)	Prec@1 100.000 (99.395)	
Epoch: [4][280/360]	 lr:0.01000	Time 0.084 (0.104)	Loss 0.0011 (0.0028)	Prec@1 100.000 (99.394)	
Epoch: [4][290/360]	 lr:0.01000	Time 0.091 (0.105)	Loss 0.0013 (0.0028)	Prec@1 100.000 (99.393)	
Epoch: [4][300/360]	 lr:0.01000	Time 0.149 (0.105)	Loss 0.0014 (0.0029)	Prec@1 100.000 (99.362)	
Epoch: [4][310/360]	 lr:0.01000	Time 0.177 (0.106)	Loss 0.0197 (0.0030)	Prec@1 96.875 (99.337)	
Epoch: [4][320/360]	 lr:0.01000	Time 0.146 (0.106)	Loss 0.0014 (0.0030)	Prec@1 100.000 (99.338)	
Epoch: [4][330/360]	 lr:0.01000	Time 0.107 (0.107)	Loss 0.0036 (0.0030)	Prec@1 98.438 (99.330)	
Epoch: [4][340/360]	 lr:0.01000	Time 0.144 (0.107)	Loss 0.0004 (0.0029)	Prec@1 100.000 (99.336)	
Epoch: [4][350/360]	 lr:0.01000	Time 0.124 (0.107)	Loss 0.0052 (0.0029)	Prec@1 96.875 (99.328)	
Epoch: [5][0/360]	 lr:0.01000	Time 0.715 (0.715)	Loss 0.0020 (0.0020)	Prec@1 100.000 (100.000)	
Epoch: [5][10/360]	 lr:0.01000	Time 0.115 (0.186)	Loss 0.0010 (0.0017)	Prec@1 100.000 (99.574)	
Epoch: [5][20/360]	 lr:0.01000	Time 0.134 (0.154)	Loss 0.0002 (0.0019)	Prec@1 100.000 (99.554)	
Epoch: [5][30/360]	 lr:0.01000	Time 0.127 (0.149)	Loss 0.0059 (0.0018)	Prec@1 98.438 (99.546)	
Epoch: [5][40/360]	 lr:0.01000	Time 0.144 (0.147)	Loss 0.0013 (0.0017)	Prec@1 100.000 (99.581)	
Epoch: [5][50/360]	 lr:0.01000	Time 0.142 (0.144)	Loss 0.0003 (0.0019)	Prec@1 100.000 (99.571)	
Epoch: [5][60/360]	 lr:0.01000	Time 0.158 (0.143)	Loss 0.0072 (0.0019)	Prec@1 95.312 (99.539)	
Epoch: [5][70/360]	 lr:0.01000	Time 0.110 (0.141)	Loss 0.0005 (0.0018)	Prec@1 100.000 (99.582)	
Epoch: [5][80/360]	 lr:0.01000	Time 0.088 (0.138)	Loss 0.0006 (0.0018)	Prec@1 100.000 (99.576)	
Epoch: [5][90/360]	 lr:0.01000	Time 0.169 (0.136)	Loss 0.0029 (0.0021)	Prec@1 98.438 (99.502)	
Epoch: [5][100/360]	 lr:0.01000	Time 0.103 (0.133)	Loss 0.0023 (0.0021)	Prec@1 98.438 (99.474)	
Epoch: [5][110/360]	 lr:0.01000	Time 0.143 (0.131)	Loss 0.0136 (0.0023)	Prec@1 96.875 (99.423)	
Epoch: [5][120/360]	 lr:0.01000	Time 0.119 (0.130)	Loss 0.0007 (0.0024)	Prec@1 100.000 (99.354)	
Epoch: [5][130/360]	 lr:0.01000	Time 0.121 (0.129)	Loss 0.0011 (0.0024)	Prec@1 100.000 (99.368)	
Epoch: [5][140/360]	 lr:0.01000	Time 0.123 (0.128)	Loss 0.0122 (0.0026)	Prec@1 98.438 (99.357)	
Epoch: [5][150/360]	 lr:0.01000	Time 0.113 (0.127)	Loss 0.0037 (0.0028)	Prec@1 98.438 (99.338)	
Epoch: [5][160/360]	 lr:0.01000	Time 0.094 (0.126)	Loss 0.0013 (0.0027)	Prec@1 100.000 (99.369)	
Epoch: [5][170/360]	 lr:0.01000	Time 0.087 (0.125)	Loss 0.0008 (0.0026)	Prec@1 100.000 (99.406)	
Epoch: [5][180/360]	 lr:0.01000	Time 0.081 (0.124)	Loss 0.0003 (0.0027)	Prec@1 100.000 (99.370)	
Epoch: [5][190/360]	 lr:0.01000	Time 0.139 (0.123)	Loss 0.0062 (0.0027)	Prec@1 96.875 (99.362)	
Epoch: [5][200/360]	 lr:0.01000	Time 0.141 (0.122)	Loss 0.0010 (0.0028)	Prec@1 100.000 (99.347)	
Epoch: [5][210/360]	 lr:0.01000	Time 0.091 (0.122)	Loss 0.0016 (0.0028)	Prec@1 100.000 (99.341)	
Epoch: [5][220/360]	 lr:0.01000	Time 0.097 (0.121)	Loss 0.0110 (0.0028)	Prec@1 98.438 (99.357)	
Epoch: [5][230/360]	 lr:0.01000	Time 0.111 (0.120)	Loss 0.0053 (0.0028)	Prec@1 98.438 (99.371)	
Epoch: [5][240/360]	 lr:0.01000	Time 0.101 (0.120)	Loss 0.0010 (0.0028)	Prec@1 100.000 (99.371)	
