Epoch: [38][970/4095]	 lr:0.01000	Time 0.325 (0.354)	Loss 0.0098 (0.0408)	KL_Loss 0.0805 (0.1403)	Feat_map_Loss 0.3769 (0.3533)	Overall_Loss 0.2336 (0.2672)	Prec@1 98.438 (92.942)	
Epoch: [38][980/4095]	 lr:0.01000	Time 0.331 (0.354)	Loss 0.0543 (0.0407)	KL_Loss 0.0815 (0.1396)	Feat_map_Loss 0.3153 (0.3531)	Overall_Loss 0.2255 (0.2667)	Prec@1 93.750 (92.984)	
Epoch: [38][990/4095]	 lr:0.01000	Time 0.324 (0.354)	Loss 0.0248 (0.0405)	KL_Loss 0.0536 (0.1388)	Feat_map_Loss 0.3486 (0.3530)	Overall_Loss 0.2135 (0.2662)	Prec@1 96.875 (93.026)	
Epoch: [38][1000/4095]	 lr:0.01000	Time 0.342 (0.354)	Loss 0.0103 (0.0403)	KL_Loss 0.0549 (0.1381)	Feat_map_Loss 0.4241 (0.3531)	Overall_Loss 0.2447 (0.2658)	Prec@1 96.875 (93.065)	
Epoch: [38][1010/4095]	 lr:0.01000	Time 0.490 (0.354)	Loss 0.0054 (0.0402)	KL_Loss 0.0413 (0.1374)	Feat_map_Loss 0.3272 (0.3531)	Overall_Loss 0.1869 (0.2653)	Prec@1 98.438 (93.096)	
Epoch: [38][1020/4095]	 lr:0.01000	Time 0.309 (0.354)	Loss 0.0055 (0.0399)	KL_Loss 0.0493 (0.1367)	Feat_map_Loss 0.2913 (0.3531)	Overall_Loss 0.1731 (0.2648)	Prec@1 96.875 (93.139)	
Epoch: [38][1030/4095]	 lr:0.01000	Time 0.326 (0.354)	Loss 0.0432 (0.0397)	KL_Loss 0.0822 (0.1359)	Feat_map_Loss 0.2964 (0.3529)	Overall_Loss 0.2109 (0.2643)	Prec@1 96.875 (93.173)	
Epoch: [38][1040/4095]	 lr:0.01000	Time 0.302 (0.353)	Loss 0.0092 (0.0395)	KL_Loss 0.0561 (0.1351)	Feat_map_Loss 0.3080 (0.3525)	Overall_Loss 0.1867 (0.2635)	Prec@1 96.875 (93.219)	
Epoch: [38][1050/4095]	 lr:0.01000	Time 0.340 (0.353)	Loss 0.0265 (0.0393)	KL_Loss 0.0788 (0.1344)	Feat_map_Loss 0.4515 (0.3526)	Overall_Loss 0.2784 (0.2632)	Prec@1 96.875 (93.256)	
Epoch: [38][1060/4095]	 lr:0.01000	Time 0.330 (0.353)	Loss 0.0234 (0.0391)	KL_Loss 0.0703 (0.1337)	Feat_map_Loss 0.3365 (0.3525)	Overall_Loss 0.2151 (0.2627)	Prec@1 95.312 (93.292)	
